source_index,text,polarity,label_id,split
10447,دوربینش خیلی ضعیفه..,-2,0,train
10584,به علاوه زاویه دید به خصوص در حالت عمودی، بسیار محدود است به طوری که اگر کمی از بالا و یا پایین به آن بنگرید، افت شدیدی در کیفیت تصویر و رنگ‌های تولید شده مشاهده خواهید کرد.,-2,0,train
9660,من که خودم از گوشی کم وزن بدم میاد گوشی باید خودشو تو دست نشون بده.,-2,0,train
9508,معتادش میشین و دیگه به نقصاش دقت نمیکنین و مجبورین یا گوشی نخرین یا پولتونو بدین برای IPHONE,-2,0,train
8630,تنظیمات اندرویدش یا شخصی سازیش مثل htc و sony نیست : مثلا ساختن فولدر جدید رو صفحه اصلی یا منو برای جدا کردن بازی ها و برنامه ها نداره و یا قابلیت انتقال برنامه های نصب شده به sd رو نداره که ممکنه فضا کم بیاریم و .,-2,0,train
7316,واقعا آدم را کلافه می کنه.,-2,0,train
11760,عکسبرداریش ضعیفه و عکسارو بدون فلاش خیلی تاریک میندازه.,-2,0,train
1904,ولی یه مشکلی داشت که در بلند مدت ممکنه خیلی اذیت کنه، اونم اینه که پشت گوشی خیلی سریع خط میفته که فکر کنم تو سفیدش کمتر پیدا باشه,-2,0,train
10743,کلا به نظر میرسه سامسونگ دچار مشکل طراحیه از زمانی که گلکسی اس فروش خوبی کرد همینطوری فقط بزرگترش کرد با این نقص به نظرم به زودی قسمت زیادی از بازارو از دست میده مگر اینکه یه طراحی جدید بزنه,-2,0,train
9590,به نظر من این گوشی ارزش خرید نداره اگه قیمتش هم اندازه ی گوشی هایی مثل گلکسی اس 3 و اچ تی سی وان ایکس باشه به نظر من حداقلش پردازندش باید 4 هسته ای می بود که نیست همچنین اگه بخوایم عمر باتری در نظر بگیریم که اپل خیلی عقبه.,-2,0,train
9400,صدای بلندگو خش‌خش داره 2.کیفیت صدا پایینه مخصوصا از طریق هندزفری 3.دوربین و فلاش اون در حد 5 مگا پیکسل نیست 4.اثر انگشت میمونه اما.,-2,0,train
7158,اصلا گارانتی معتبر و مسئولی نیست.,-2,0,train
11992,بنظر من کارکرد باطریش اصلا خوب نیست و همچنین فیلمبرداریش.,-2,0,train
11016,هم نسخه اولیه آندروید قدیمی هست هم قیمت نسبت به امکانات تقریبا میشه گفت بسیار بالاست!,-2,0,train
7390,باسلام متاسفانه در معرفی این محصول توجهی به یکی از مهمترین امکانات آن یعنی بخش fitness آن نشده .,-2,0,train
10483,به نظرم ارزش خرید نداره مخصوصا به خاطر اینکه صدای مکالمه داخل گوشی انعکاس داره خیلی آزار دهنده هست,-2,0,train
11960,در تست هایی که بنده انجام دادم هد ست داخل جعبه گوشی کیفیت خروجی بسیار پایینی داشت در کل میشود استفاده کرد .,-2,0,train
9883,ولی خیلی موبایل گرونیه,-2,0,train
9546,من یکی از طرف دار های سرسخت اپل بودم و منتظر بودم که 5 بیاد تا بخرمش ولی وقتی معرفی شد و دیدمش شنبه رفتم و یه s3 گرفتم و فوق العاده راضیم.,-2,0,train
9672,من خودم طرفداره اپلم ولی با این گوشی حالم گرفته شد :( 1 ساله منتظرم بیاد بگیرمش.,-2,0,train
5318,) مشکل غیر فعال شدن وای فای در زمان ورود سیمکارت خیلی اذیت می کنه چون باید دوباره به تنظیمات کارخانه برگشت.,-2,0,train
6045,سلام ، حدود یکسال هست که دارم، بعد از اولین شارژ کیفیتش خیلی اومد پایین،,-2,0,train
6082,دقیقا همین قیمت و واقعا ناراحت شدم که دیجی کالا حتی اسمشم نیاورده .,-2,0,train
9642,هیچوقت به پای گوشیهای جدید 2012 نمیرسه سامسونگ الان تو زمینه گوشی حرف اول رو میزنه S III و note 2 خیلی بهترن.,-2,0,train
9628,به نظرم حتی با اس2 هم دیگه قابل مقایسه نیست.,-2,0,train
10630,صفحه نمایش کم نور و تاریک به نسبت اس۳ و وان ایکس دوربین خیلی بی کیفیت ظاهرا ۱۳ که خریدم وقتی عکس میگیری و زوم میکنی یه سری نقطه های رنگی رو تو عکس به صورت پراکنده میبینی خیلی بی کیفیته تاچ ضعیف انگار کمی دست رو باید فشار بدی روان نیست,-2,0,train
3093,کیفیت TF700T خیلی خوبه ولی مال new ipad یک چیز دیگه است و برای تماشای فیلم عالیه.,-1,1,train
